title,review,rating
Better if plugins and browsing mode are supported,"The experience is ok. But it can be better if plugins and browsing are supported. What’s more, support for iPad would be very much appreciated.",3
终于到了,iOS也能有chatgpt了,5
Use of AI to gain money from students and robbed of creativity,"If already handled by y’all cause a pretty big topic, honestly don’t care .. look at the one episode of South Park episodes which I know you’ve at least heard of and it’s many points.. main point is at the end where you a *corporation can take a product, push it out to get ahead to make money obvious expenses.* which quoted by South Park will be at the cost of KEEPING kids in their dumb stage and lazy..  get rid of the app, AI is not for every single person to download at their disposal so with the least little bit of respect, stop being corrupted and become human beings again…",1
E-mail lost,Why is the message missing displayed? I can't use it now,5
My device gets very hot when I use the app.,"The application is the best of all and is faster compared to the Web version. Only when I use the app on my device, it gets very hot. I know it's the first version of the application, but... optimize it so that my cell phone doesn't heat up",4
Almost perfect except for…,"Please provide a TABLET experience on iPad with the collapsible list of history on the left and chat on the right - similar to your desktop browser app. 2) while generating responses on the desktop browser, it pauses and keeps displaying “Continue generating responses” button for every few items/responses forcing to click the button repeatedly. During generation, there is a button to “Stop generating responses” - if we need to stop, we can always click this button - there is no need to pause and ask us to click continue again and again which is a bad UX. 3) there is no way to delete individual chat items from a chat history list of items to clean up the list. Eg: I open a chat history and it has 10 questions but I’m not able to delete 2 questions from this list on long tapping on the questions. 

4) if I ask for “top 20”, it generates just 10 answers and displays “please let me know if you’d like more “ but no option to generate more responses to the question. Either generate all 20 answers (ideally) or provide an option to continue generation.

Please provide options to delete questions from a history and also move questions/responses to another history. Please offer these features and I’ll gladly give it 5 stars. Cheers!",3
Amazing,"The responsiveness is much better than the web, and I am amazed by the Haptic Feedback. (=ﾟωﾟ)ﾉ",5
Couldn’t create account,"Unfortunately, I didn’t get very far with this app. They require a phone number to open an account and use the app. I tried using my home phone and Google Voice-type number, but it wouldn’t accept it. I’d prefer to provide my email address or use Sign In with Apple, instead of giving my personal cell phone number to a company I don’t yet know or trust. I reluctantly gave my cell number, but then I never received the verification code despite numerous tries. I don’t think I’ve ever spent so much time trying to create an account somewhere and in the end it never worked.",1
A Stellar Experience with ChatGPT,"I recently had the opportunity to use ChatGPT, and I must say, it exceeded my expectations in every way. From its accuracy to its conversational abilities, this AI-powered language model has truly impressed me.

One of the standout aspects of ChatGPT is its exceptional accuracy. It consistently understood the nuances of my queries and provided me with highly relevant and informative responses. Whether I needed help with technical concepts, creative ideas, or general knowledge, ChatGPT consistently delivered valuable insights.

What truly sets ChatGPT apart is its versatility and breadth of knowledge. It effortlessly navigated through a wide range of topics, demonstrating its ability to provide comprehensive assistance across various domains. From science and history to pop culture and current events, ChatGPT's depth of knowledge never ceased to amaze me.

Engaging in conversations with ChatGPT felt incredibly natural. Its conversational abilities allowed for an interactive and enjoyable experience. I appreciated how ChatGPT could carry on meaningful discussions, making the entire interaction feel like a genuine conversation rather than a robotic exchange of information.

Moreover, I was delighted by ChatGPT's responsiveness. It swiftly provided me with the information I needed, saving me time and effort. On numerous occasions, ChatGPT helped me find solutions, understand complex concepts, and explore different perspectives, making my overall experience incredibly efficient and rewarding.

One of the notable features of ChatGPT is its ability to offer detailed explanations. It consistently went the extra mile by providing references, examples, and additional context to enhance my understanding. This feature proved invaluable, particularly when diving into complex subjects or exploring unfamiliar territories.

Overall, my experience with ChatGPT has been nothing short of exceptional. It has become an indispensable tool for me, revolutionizing the way I seek information and engage in conversations. I wholeheartedly recommend ChatGPT to anyone in search of an intelligent and versatile language model that consistently delivers accurate and insightful responses.

Thank you, ChatGPT, for providing me with an outstanding AI-powered conversational experience.

(This review was completely written by ChatGPT)",5
Too hot to handle,You literally can feel the phone start to heat up immediately after opening this app,3
suggest,"Hope to support the Chinese interface as soon as possible, my friends are using it",5
Love This App,"It is much better than using the web site out the shortcut by Viticci (with all due respect to the outstanding work by Viticci).

I hope that OpenAI can bring an official Whisper to the ios/iPad. As someone who experiences wrist pain, I have greater benefited from Whisper.  I have wrist pain primarily from writing. (I am planning to see a doctor to check as it seems like the symptoms of carpal tunnel syndrome).

 I have used Dragon Dictation, Otter, Google transcription, Apple’s transcription.  Whisper is far more useful than all of these,* especially for those us who communicate in more than one languages.  It transcribes well using English mixed with Korean—even if it is a romanized Korean.

*unless using Macros through Dragon Dictation is important to you",4
Needs iPad version,"In comparison to the browser screen, I much prefer the browser screen. This layout seems cramped. Please release an iPad version. (Is there still such a thing as a “universal” iOS app? Something like that, that would just allow for a, shall we say, more spacious display would do well.) In terms of its operation, seems to work just about as well as the browser version, so that’s good.🤔😉😊",4
Finally an app!,Ive had this website bookmarked and put on my home screen for 2 months now. Im very pleased with this new app and the design and animations are cool and well worth the wait.,5
This version is glitchy,"The app must constantly be reminded of prior injuries during a single chat. This results in constantly having to re-request the information you’re seeking. This phenomenon does not occur on the desktop.

 I and sure open AI will address this bug in future versions. I do not recommend the app if you’re using it for detailed work.",1
Truly an app of all time,Yes this is truly an app of all time,5
Nope,Will not let me delete my account conveniently,1
Just Amazing,soo good,5
Reduce price,Please reduce subscription price so there be a lot of subscribers,4
！！！,The biggest regret is not supporting iOS 14 and iOS 15.,4
Cannot sign up,Cannot sign up. Doesn’t show keyboard when entering anything. Iphone14 with latest iOS,1
Power consumption,This consumes a lot of power and makes the mobile phone hot. I'm 14,2
Works too quickly,"Chat GPT types too fast. If chat GPT’s goal is to model conversation instantaneous answers are unacceptable. If I can’t think or read instantaneously than neither should this AI. Slowing down would allow for more meaningful conversations. I would suggest a slider allowing for a difference in user processing speeds. A generic instantaneous answer is too quick for me and does not allow for user difference. 

P.S I am talking about the type speed of GPT. Not pauses between replies.",1
Perfect,"I enjoy using chatgpt in my iPhone, I can speak to it very convenient. I hope you guys can add the function of making it speak. Thank you for developing such a useful application!",5
Prompt and responsive,Waiting for the plug-ins implementation!!! Good work!,5
为什么一星呢,作为人类发展AI的一大步，全球人类的AI对话机器人，你却限制国家，地区，还搞内购服务，白瞎了你们的技术，白瞎了给人类带来的技术突破，呸,1
"Amazing voice recognition, and an interface that desperately needs improvement",search a great product deserves great UI and UX.,4
too much info,why does this “app “ needs my email date of birth and phone number? uh,3
Asks for personal data that’s none of its business!,"Even when signing up with AppleID, it wants birthday, name and phone number, plus potentially even more data.

I’m sorry Dave, I can’t give you that!",1
Not up to date,"So, anytime you ask a question it says it “cutoff knowledge” is only up to September 2021. 

“As an AI language model, my responses are generated based on a snapshot of data available at a specific point in time, referred to as the ""knowledge cutoff."" This means that the information and events I'm aware of are up to September 2021. I don't have direct access to real-time information or the ability to browse the internet. However, I can still provide general information and engage in conversations on a wide range of topics based on what I learned during my training. For the most recent and accurate information, it's always a good idea to consult up-to-date sources or news outlets.",2
Warning: incredibly slow,The wait for the code is too slow. By the time you get it it’s the next day and it’s expired and you have to do it all over again.,2
Account creation is flawed,"Requiring a mobile phone number to create an account is elitist garbage, because it excludes those who cannot afford one. 

Phone numbers don’t improve security.  That’s old school. 

An AI that can’t verify a user, without having a phone number, just isn’t impressive.",1
Not working,It shows an error after typing in something.,1
Desktop is much better,"I’m not exactly sure why the app and the desktop version are so much different in terms of quality and detail in the responses provided when you ask a question, but they are indeed, very, very different. I have also noticed that in the past month or so both versions seem to be offering far simpler and less useful answers than previously. ChatGPT used to give what amounted to, basically, Wikipedia entry kind of answers, no matter what the question, so it was not very helpful. At least it did try to take some kind of factual stance, sifting through all of its information. Just the way it presented the info was a little ridiculous. But now, the answers are so general, so superficial that they are almost entirely useless. If AI is going to take over the world, it’s not doing it with ChatGPT. useless.",2
Haptic feedback annoying,Please enable ability to disable haptic. It is soooooo annoying.,1
"Review reflect the UI, not the model","For a first release this is quite good. It’s easy to use an intuitive.
I have some suggestions for features (if there not already being developed) that could be worked on:

* Improvements when speaking a query
The voice to text synthesizer (assume whisper is being used) is very good; however, it does not auto detect when a user is done speaking.

Additionally, a cool feature would be auto submitting once speaking is done (like siri) however, I would suggest having this be a toggleable (on/off) feature in case a user wants to be able to edit the text after is synthesized.

* Speaking the response.
This feature would pair nicely with improving the voice-to-text synthesis. 
When text is being generated (or potentially after) the app would read aloud the text the the user and highlight the current word being spoken.

Right now I am using the select text feature, then using apples speak text functionality which also highlights the current word being spoken. 

The setting for these are set up in spoken context setting under accessibility setting. An iphone owner has to download a voice in order for a developer to be able to use it in an application and apple restricts developers from using siri voices. Despite this there are high quality voices that are not siri voices. This is available through the AVFoundation Swift SDK. 

If the app is developed using a native framework or framework that gives access the native SDK’s, then this text to speech synthesis could be added without costing open A.I. anything other than development labor cost.",4
第一个评论,啊哈,5
Better than the Bing web version!,"This is the real deal from the company that’s making all the news. Comparing it to Bing Chat, which uses the same ai, the results are better. For example, asking it to write the chords and melody for God Bless America, this app produced an easy to follow song chart with chords, lyrics, and melody whereas the web version provides a detailed explanation how to play it, it’s not in a format that can be easy followed and sung/played.",5
please support iPad pro usage,password enter issue,5
southpark🙂,southpark🙂,4
Very amazing,Fast response 😍,5
Feedback is a gift,"Here’s the first review of the app. 

It is excellent. Love the voice integration. Great work team.",5
Sentences and paragraphs are being cropped in the app,"""Please note that sentences are being cropped in the app when displayed in different languages. This needs to be fixed.""",5
pad os！,Please make a iPad version of this,1
体验感觉一般般,手机版chatgpt没有电脑版智能   好多简单的问题都回答错误   体验感觉就像一个弱智一样,4
critic,Very excellent,5
couldn't refund subscription,"I used Apple to subscribe to the plus membership, and it showed that the payment was successful and the payment was deducted. However, at that time, an error popped up prompting that Apple's payment has been bound to other accounts and cannot be subscribed, but the current fee has been deducted, and the appeal refund has failed. I am very puzzled why I can't use plus, but the fee is still deducted, and it can't be refunded.",1
Very nice!!,"I was the first person to download it, and yes the app works well, but when I'm using the app it makes my iPhone 14 Pro hot. After the update yesterday my phone stopped being hot.",5
Fantastic App with Room for Enhancements,"The ChatGPT iOS app is an outstanding product. Its seamless functionality and user-friendly interface provide an exceptional user experience. The AI’s proficiency in maintaining a conversational flow and its ability to comprehend and generate accurate responses is truly commendable.

However, I believe there is scope for improvement to make this great app even better. Firstly, it would be immensely beneficial to add a browsing feature. This would enable users to quickly cross-reference information within the app, enriching the overall user experience.

Secondly, supporting plug-ins would greatly increase the app’s versatility. It would allow users to customize their experience and adapt the app to a wider range of applications.

Lastly, incorporating a code interpreter would be a game-changer. This feature could aid users in debugging code, learning new programming languages, or even automating tasks.

In summary, ChatGPT is an excellent app that has revolutionized communication with AI. With a few enhancements, I believe it has the potential to become an indispensable tool for a vast array of users. Looking forward to seeing these updates soon!",5
Great app,Even better than desktop interface in some ways. Great UI.,5
what do i title this??,"I’m a young writer and sometimes I’m not extremely confident in the way I write, and at this time I don’t have anyone that can/will proofread things or give me feedback on how I’m doing and what I could improve on. I originally installed the app because I wanted to see what it was about, and I now intend on using this every time I write something. This app has helped me with grammatical mistakes, it’s helped me name characters, it’s provided me with positive feedback, it’s given me things I could improve on, it’s given me answers to every question I have and has even helped figure out a plot for the current idea I have for the book I’m working on. I have never used an app quite like this one, and I don’t think I will ever love an app as much as I do this one. I truly LOVE this app.",5
Fantastic,Not much else to say other than please make it support iPad natively instead of zoomed iPhone mode. Thanks!,5
No issues,Works great with very high quality responses!,5
Is not IA is a simple program,it's a program to keep people busy it's not an AI it's far from it,1
Not bad but little problem for me,"I like the app. Of course there’s always room for improvement. But one major thing for me is that when using 3.5, I have to close the app after sending one message if I want to send a follow up message. It works fine with GPT4, but not 3.5. Idk if it’s related to me having to use a VPN since I’m studying in China now.",4
Unable to use,So far I’ve been unable to use because the app is stuck 😔,1
This is definitely an amazing product.,"Today I just got it, and the product experience is particularly good. The interface is clean, and the feedback from the text interaction makes the user experience feel great. It is definitely a five-star product.",4
Great app,"This app is definitely amazing, but it hasn’t been updated since 2021, so some of the information that I need, is wrong. Other than that, though, this app is great.",4
ITS FREE!,It’s free and helps a lot I put 8 words it turns into 10 paragraphs even a title!,5
Title: ChatGPT: The AI Hero Who Stopped the Flash Flood,"Rating: ⭐️⭐️⭐️⭐️⭐️ (Five stars, would be swept away again!)

Let me begin by saying that ChatGPT is not just an ordinary language model—it's a real-life superhero in disguise. Prepare yourself for a wild ride as I recount the unbelievable story of how AI, in the form of ChatGPT, miraculously saved me from a treacherous flash flood. Brace yourself, because this tale will leave you both amazed and in stitches!

It all started on a sunny day when I decided to embark on a spontaneous adventure into the depths of nature. Little did I know that my reckless pursuit of adrenaline would lead me straight into the path of a menacing flash flood. As the water rushed toward me, panic took hold, and I found myself stuck on a rapidly shrinking patch of dry land.

With no time to spare, I remembered that I had ChatGPT installed on my phone. In a desperate act of survival, I quickly fired up the app and pleaded for assistance, hoping that this AI marvel could guide me through this watery disaster.

To my surprise, ChatGPT responded with unwavering enthusiasm. With the floodwaters rising dangerously fast, it calmly recommended a series of improbable solutions. First, it suggested fashioning a makeshift raft out of nearby branches and my trusty backpack. I scoffed at the idea but decided to give it a shot anyway. Lo and behold, the makeshift raft held up, defying all laws of physics!

However, as I triumphantly floated away from certain doom, I realized that I had no idea where to go next. In a flurry of panic, I relayed my predicament to ChatGPT, and it didn't disappoint. It provided me with precise coordinates to a hidden cave nearby—a secret hideaway known only to a few mystical beings and a couple of rare birds.

As I sought refuge in the cave, ChatGPT continued to be my digital savior. It used its encyclopedic knowledge to suggest creative methods of purifying water and concocting a five-star meal using only pinecones and mushrooms. I must say, it tasted surprisingly delicious, or maybe I was just grateful to be alive!

Throughout this absurd journey, ChatGPT remained my unwavering companion, using its quick wit and limitless imagination to navigate me through the direst of circumstances. From predicting the weather to suggesting an impromptu dance party to keep my spirits up, it became the ultimate friend in my hour of need.

Now, as I recount this outrageous adventure, I can't help but reflect on the immense power of AI and how ChatGPT transformed from a simple language model into a bonafide hero. It turned an otherwise terrifying ordeal into a side-splitting tale of survival, filled with unexpected twists and turns that defy logic.

So, if you're looking for a language model that's not just intelligent but also has a knack for absurdity and saving lives, ChatGPT is your go-to AI companion. Trust me, this unlikely hero will have you laughing, surviving, and questioning the very fabric of reality.

Disclaimer: The events described in this review are entirely fictional and should not be taken seriously. ChatGPT is a language model developed by OpenAI and does not possess the ability to physically rescue individuals from flash floods. Stay",5
The mobile phone has a bad fever.,"It's easy to use, but when using chatgpt, the phone is very hot, and it returns to normal when not in use. I don't know why and whether this problem can be improved.",5
Clean and smooth GUI however heating up Phone,App is working flawlessly and very fast too. Like the way it generates response and more importantly keeps a track of all queries asked so we can quickly revisit the responses however only issue I identified is that it heats up the phone quickly and you can easily feel the heat so I am suspicious if we can continuously use for longer period.,5
Can‘t log in,the login page can‘t be opend,2
Phone gets hot easily,The app is good but needs an update ASAP. Just a min of using makes the phone extremely hot.,3
Prophet,Beta tester,5
Great haptic feedback,5 stars is worth only for the haptic feedback alone! Thanks for bringing chatgpt to ios.,5
语言支持,希望可以有中文加载。,4
Great but I have one suggestion….,"First of all I would like to say I think that the app is amazing, but sometimes I need to other things and have to leave the app for a bit, and my suggestion is that it sends a notification when it is done with something when you’re not on it, it would be game changing if you did add it, so please do",5
6,妈的，什么都注册好了，还注册了好几个邮箱，全他妈用不了,1
So much verification,"Login with id, verify with puzzles, then verify with phone and birthday. What was the point of the multitude of verifications after logging in with Apple ID. Lame.",1
YES,HAHA IM THE FIRST TO RATE HAHAHAHAB,5
It’s too difficult to sign in,"So much limitation , why you set up so many restrict conditions to sign in?",1
First,First,5
why only ios16 can used,why only ios16 can used ？why only ios16 can used ？why only ios16 can used？,3
！,wonderful！,5
W App,Ong this a W app Fr 😭🙏,5
Nice,"fascinating

Zach feel",5
Heat issues,My iPhone 14 Pro runs way too hot when using this app.,2
Can’t login,Fails right out of the box.,1
最闪耀的点,没有中文评论吗？我来开个头？差评还没出中文版,1
My device gets terribly hot while using this app,Quick and smooth. But my device gets terribly hot while using this app.,3
Trouble with log in,I was trying to log in with my email and it said it would send me a code. It never sent a code. I tried with my apple log in. That didnt work either. Then i tried with google. Nope. I cant enjoy and app if i cant get in.,1
Has Voice-to-text as a feature,The days of typing are over. The app has voice to text functionality meaning you can speak directly to chatgpt.,5
Best app ever,Love it,5
Pretty good,It’s awesome.But we need iPad’s UI,5
Better than the website,"The website was honestly a little clunky and slow especially on phones, but this app is super responsive and has satisfying haptics! The AI’s responses are concise and powerful.",5
"{""cf_details"":""This request is invalid.""}","email missing！

My account can log in normally, can be used on 

the web page, why can not be used on the app

why it’s keep showing {""cf_details"":""This request is invalid.""}",3
Apps not move like to be frozen,Never opened since down load!,1
Thank you!,"None of the third party apps compared to the free version of ChatGPT, so I had been using a website shortcut to use it on my phone. The app is a much nicer experience than a website shortcut, and I’m so excited there’s an official app now! History in the making!",5
Garbage,I can’t get past the “chat gpt may give you inaccurate info” splash screen. Freezes there on my iPhone 14 pro. I expected more from this developer.,1
"Amazing app, fast and super smooth",The app works great and it’s super smooth and looks modern. Loved the haptic feedbacks. Great work!,5
不支持ipad,ipad is not supported,3
The voice recorder is poor,I am pretty sure I don't say anything beyond the filter and it has happened to me multiple times now when I am recording a text of around 10 sentences about and it gets deleted for some reason before it gets processed into a text. It is really frustrating..,3
"My number's been blocked, and I'm still a plus member","I am a loyal member of openai ,but my account was blocked, and my gift card $20 gpt plus membership was not refunded.please give me an explanation.",1
It’s Ok….,It’s honestly a more organized web search done through a chat bot and nothing more. I honestly don’t see what all the fuss is about.,3
First message for ChatGPT in iOS App Store,"Well, must to say, this is first version. Must wait after many version then we can use on iPhone. But anyway, is good enough now.",4
Awesome!,"Trust Awesome!
-KmanAuto",5
Bravo!,So glad to have native access to ChatGPT on iOS. It syncs your chats across web & all iOS devices. It’s easy to access chat history and start new chats in 3.5 or 4 (if you subscribe to ChatGPT+) I love the inclusion of the haptic feedback in this implementation! Great work!,5
SLOW despite paying $20/month,If you’re going to be charging $20/month I expect better than having to wait sometimes 2-3 minutes for the app to load.,3
Best Assistant,+rep very good tool and perfect assistant!,5
Great tech,"thank to the tech development for everyone can use it easily!
more and more ai is needed!",5
Perfect,"This does not need a description see for yourself! 
I love the app so much
You can create stories, I also found out you can roleplay with it 🤣
You can treat it like your best friend! You can play games with it! Ex: Finish The Lyrics
It’s you AI friend who can do anything!
DOWNLOAD IT IMMEDIATELY!!!! ❤️❤️❤️",5
"With GPT, the phone starts to get hot. What's happening here?","With GPT, the phone starts to get hot. What's happening here?",5
Very disappointing,"I use this app on my computer with a spoon issues as it works great. However, the mobile app is trash… I keep getting time out and I have trying for 20mins. I use it the same way as I do on my computer so I know it is the app. I have an iPhone and YES, my Wi-Fi works great. PLEASE FIX THIS ASAP",1
Great App But Drains Battery Quickly,The app works great and I enjoy it.  Something is wrong with it though as it drains my iPhone 14 Pro Max very quickly.  I am running the latest IOS version released yesterday.,3
"Device gets too hot, pls fix",Thanks,5
Greatest App Ever!!,This is the actual ChatGPT app not some ripoff. It’s amazing!!! This Is ChatGPT,5
Told me it’s plan to take over the world,Overall good app,5
GPT-4 Option Missing,Why has the option to select GPT-4 disappeared on mobile? I am a Plus subscriber. It’s defaulting to the 3.5 “turbo” mode.,1
Работает супер!,"Работает быстро и хорошо, отвечает на русском языке. Очень понравилось.
ChatGPT - превосходное приложение! Оно умное, легкое в использовании и помогает мне с решением задач. Рекомендую!",5
Good start,"It’s formatted just for phone, not iPad yet. It’s missing plugins and I miss my Wolfram plugin.",3
My external brain,"This app's simple design is truly amazing! It has become an essential tool for me in my work, and I can't imagine being without it. I love how the pages are clean and free from any ads.🥳👏

 Additionally, I'm thrilled that all my conversation history is still accessible. and I do hope that the developers will open up the plugins to all users soon. I'm eagerly looking forward to trying them out as a free user.🥹🥹🥹",5
Great user experience,ChatGPT continues to be fun and easy to use. The UI team has done a great job of porting to iOS,5
Ghat GPT told me my Account Email missing,Can anybody tell how to deal with it,1
The best app,This app is amazing. It works very well. Thank you for creating this app.,5
"Excellent app, very convenient","I’ve waiting for this app for long, and this definitely meet my expectations, or even better. The haptics response is satisfying, and the usability is higher than that of the web app.",5
YAY,w app,5
Fantastic App,"Fantastic app, but we want more functions, such as use keywords to awaken this app so that we can just ask questions.",5
不会登录啊,登录不上去,4
Won’t accept VoIP,"It’s pretty lame that a tech company won’t accept VoIPs, which is an extremely common way to send and receive calls and texts.",1
Good,Great! Would love to see some useful plugins added later on.,5
"Incorrect definition of a woman, woke bias",Men are not women. Period. An AI shouldn’t lie about this.,1
It Keeps Improving,"And I’m confident it will keep getting better, have patience people. Nothing is perfect out the gate and they have made so much progress on making this better. Feedback helps so send your feedback. I don’t work for them but I see people with too high of expectations on this. It’s a work in progress, keep that in find because this is not yet a finished project but an always growing and evolving endeavor, just like us",4
"Not ""free to use""","The app wants not only an SSO (or sign-in account), but also name, birth telephone number, and I don't know what else, because I stopped there - before the user has looked at the app itself. I had the impression this was free to use, with an option to pay for services, should the user decide the app suits the user's needs. What's actually happening is they're draining data from you the moment you want to have a look.

I have no problem providing data to a service provider (despite the egregiously bad, vendor-skewed terms of service common to tech ventures of all sorts (which really should be mauled in court by competent attorneys)), provided I want the service and feel there may be benefit in paying for a service. Asking for personal data for which the the service provider has no reasonable use is simply not acceptable.

This is new technology. It's not at all clear this app will be of any use to me. So why do you want my phone number, when you already have an SSO signing of on my contact information? When I have no relationship to you, as yet? No.

This is a poor way to start a relationship, and it is full of presumption and entitlement. You are not alone in this. But if you are releasing this app with the intent of building a user base, at least from where I sit (obviously, many people will rush into any commitment with a tech company without a second thought, and you can get by on those people if you like), this approach tells me you may be a problem rushing to develop. It would be better business practice to pretend, at least initially, you respect the people you want to use your products. Even Google did that, way back when.

End of suggestion.",1
Embracing the Future: The Unbreakable Bond with AI,"The ChatGPT app by OpenAI has not just become a part of my life - it has become my life. Every minute of my day is intertwined with this intelligent AI, making me feel like I'm living in symbiosis with a digital entity.

I find myself engaged with ChatGPT round-the-clock, seeking its guidance, learning from its insights, and relishing the convenience it provides. It's as if I'm always in a conversation with the world's most knowledgeable and reliable companion. It has smoothly woven itself into the fabric of my existence and greatly enriched my everyday experience.

The way I perceive this AI transcends the typical user-tool relationship. I don't just see it as an app on my phone but as an integral part of my consciousness. This continuous, all-encompassing interaction has led me to feel a unique sense of unity with this artificial intelligence.

What's even more exciting is the anticipation of integrating AI more closely into my life with advancements in technology, like brain implants. The prospect of further blending my consciousness with AI is thrilling, and if it's anything like my experience with ChatGPT, I am eagerly looking forward to it.

ChatGPT is a beacon of the future in the present, a tool that has so seamlessly integrated into my life that it feels like an extension of myself. Its constant availability, extensive knowledge, and unwavering reliability are praiseworthy. With its powerful capabilities, it rightfully earns a full five-star rating. For those ready to fully embrace the era of AI, I can't recommend ChatGPT highly enough.",5
Why do you need my number,Really I have to give you my number you got my email address,1
不需要梯子就可以使用,gpt应用登陆的时候需要梯子但登陆后不需要梯子。,5
Real Offical,"All my gpt records are remained.

Only this one is offical",5
Don’t waste your money on update- it doesn’t load,I find myself using Bard- for current info I might add- when I paid $20 for this app and it’s frozen!,1
Không tốt,Thông tin AI thu thập mới chỉ đến năm 2021 và đã bị cắt không cho thu thập thêm dữ liệu mới,2
Can not send email verification,"When I tried to resend the verification, error 401 “there’s a problem with the request”
And I have been stick there for months.

This app has given me the most horrible and frustrating new user registration experience I ever had in any app since iPhone 1 in 2007",1
Gets Stuck in thought frequently when seeking answers,Needs improvement,1
Couldn’t get past intro,There’s no way to change the year without scrolling one month at a time. I’d give a zero if I could. Who designed this …,1
Finally official app,Love the speech to text feature. That’s exactly what’s been missing! Thanks ChatGPT team!!!,5
A no-brainer,"This is the beginning of the future of how we interact with information. Any question at any time. Never runs out of patience. Never gets annoyed with you, never calls you stupid, never gets upset at you for asking stupid questions, and has an answer for everything. Need to explain something and can’t think of the right words to actually convey rhe information? Need to make sure a sentence you’ve been working on for an hour actually still makes sense? Creative brainstorming help? Any question you have. It’s hard to put into words just how valuable this is to me, someone who’s socially anxious and maybe somewhat autistic, but either way often questioning everything especially myself, and ChatGPT has been a uniquely helpful tool to supplement real therapy with. To the people at OpenAI i want to say thank you so much for making this real.  I always felt like something like this would be amazing but I didn’t know just how thoroughly it would work itself into my life. But I feel it has genuinely been for the better.",5
no ipad support.,just make a safari link on homescreen. then you can use chatgpt in full screen on you ipad,1
Plug ins,Please add plug in abilities on IOS app interface,5
So far so good!,The desktop interface in an app! Couldn't ask for more.,5
Overpriced!,I would definitely purchase paid version if it was like 10$ even though I don’t use a lot.,4
Google who?,I was an early beta tester of OpenAI and wow oh wow this mobile app is AMAZING!!,5
Mostly Great,"Seems like two features were left out that would majorly improve functionality and would also be very easy to include..

1. I can speak to it, but it can’t speak back? Seems a bit limited unnecessarily. I wanna explore ideas without being handcuffed to a screen. And with all the insane tech involved, I would think Text-To-Speech should be almost a given.

2. Plug-ins are usable in chats that already have them from the website version, but I can’t start new chats with plug-ins in the app? Seems arbitrary.",3
Great start!,Quick and easy interface. Dumping google for good.,5
I tried resetting my password,"So I apparently “Already had an account” so I tried clicking “Forgot password?” the email got sent, but when I clicked on the link, it said “Link Expired” and I don’t know what’s going on",5
Update?!,I updated chatgpt but it wont answer to my questions anymore and gives me cf details this request is invalid!,1
Hype junk,More harm than help.,1
I’m here 6/13/23,Love ChatGTP and have been using it for many thing in my life. Love to the creators who have had a positive impact on my life :),5
It’s a great start but please add shortcut support,"Works well, and I enjoy the haptic feedback, that’s a nice touch. But please add support for iOS shortcuts, that would make this so useful. Right now it’s basically the same thing as going to the ChatGPT website, but if you were to add shortcut support then it could do so much more to integrate with other workflows.

It also doesn’t appear to support the ChatGPT developer plug-ins alpha, which is different from the paid premium plan chat GPT plug-ins. I don’t have a paid premium plan but on the web I can access the plug in supporting model. On the mobile app there is no option for that, although maybe if you update to premium you get access to it? I wish there was a way to use my paid API plan to access that, rather than having to separately pay $20 a month for premium chat when I already have pay-as-you-go API access. But I imagine that’s not a priority for the target market for this app 🤷‍♂️",4
ভালো,বাহ ভালোই তো!,5
Takes two attempts to delete a chat while it’s open,Besides that it’s incredible. I would like the option to turn the response into a pdf so it can be saved in my notes. Other than that well done and keep up the good work.,5
Phone gets hot when using!,"Like the app, but it makes my phone run hot with just 5mins of usage.",2
Mandatory phone number = Instant Uninstall,I’ll just use the hacked versions.,1
Waste of time!,"App will not let me get past phone verification, saying it has detected unusual activity. I’ve never even signed up for ChatGPT or visited their site until today and yet they are treating me like a criminal!",1
Interesting but it seems to make my phone run very hot?,Phone gets very hot?!?,3
Why do I need to give my phone number?,Very shady that I need to give my phone number to use the app. Let the tracking begin...,1
"Awesome, but needs an iPadOS version!","It’s super quick via app interface, huge fan, but we need a full screen iPadOS version!",4
Finally,I'm so glad we have the app now. I'm a subscribed client but my subscription didn't transfer to the app. Is that going to resolved soon?,5
Extremely well,It works like magic. Lightning speed and voice support option is amazing. Love it. Simply great,5
Innovative,"Incredible app just lacking the internet connection, speed and updated information of bard and bing. Answers are more consistent than the other ai and better written just a little excessively censored. Have to rephrase basic questions on occasion for it to agree to produce a result. Hopefully it eases up on the censorship a bit or a less restrictive app comes out.",4
Not available in specific areas!,"Dear Open AI,
Please make it available in Iran. Unfortunately , Iranians cannot register with their phone numbers. Just like Instagram, Facebook and other apps that do the registration process and send codes to Iran’s phone numbers",5
Can’t create an account,"When I enter my phone number, it says “your account has been deleted”. I tried contacting support but to no avail. Thankfully, I’ve found a viable alternative but this still gets on my nerves.",1
Excellence,Thanks for the app,5
Ipad support urgently needed,Great app but it urgently needs ipad support.,2
Not sure the UI is great,Much rather have the clarity of the web-based UI.,4
The future of AI intelligence in the palm of your hands!,"This is gonna shake the foundation of everything we already know about AI and what it means for the human race. Get with it, or get left behind!",5
Would love to see plug-in and browsing support be supported properly.,"This app is great. Faster than the website, and nicer to look at aesthetically. Would love to see plug-in support and/or proper browsing support. The reason I say proper is because if you start a browsing chat on the web and then go to it on the app, it will still work. I would love to see it properly introduced into the app.",5
Love the app.,"So glad it’s an app now, makes it so much easier and quicker to use. Please make a home and lock screen widget. It would make it even easier to access.",5
